English,Romanian
any,orice
new,nou
work,locul de munca
part,parte
take,ia
get,obtine
place,loc
made,a facut
live,trai
where,unde
after,dupa
back,inapoi
little,mic
only,numai
round,rotund
man,om
year,an
came,a venit
show,spectacol
every,fiecare
good,bun
me,mi-
give,da
our,nostru
under,sub
name,nume
very,foarte
through,prin
just,doar
form,forma
sentence,propozitie
great,mare
think,cred
say,spune
help,ajuta
low,scazut
line,linie
differ,difera
turn,randul sau
cause,cauza
much,mult
mean,Adica
before,inainte
move,miscare
right,dreapta
boy,baiat
old,vechi
too,prea
same,acelasi
she,ea
all,toate
there,acolo
when,cand
up,in sus
use,utilizare
your,dumneavoastra
way,cale
about,despre
many,multe
then,apoi
them,lor
write,Trimite
would,ar
like,ca
so,asa
these,acestea
her,ei
long,lung
make,face
thing,lucru
see,vezi
him,l
two,doua
has,are
look,uita-te
more,mai mult
day,zi
could,ar putea
go,merge
come,vin
did,a facut
number,numar
sound,sunet
no,nu
most,cel mai
people,oameni
my,meu
over,peste
know,cunoaste
water,de apa
than,decat
call,apel
first,primul
who,care
may,putea
down,jos
side,lateral
been,fost
now,acum
find,gasi
